"year","nwmBF","nwm2","nwm5","nwm10","nwm25","nwm50","nwm100","nwm250","nwm500","nwisBF","nwis2","nwis5","nwis10","nwis25","nwis50","nwis100","nwis250","nwis500"
1993,2,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,52,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2,1,0,0,0,0,0,0,0,54,35,24,22,21,21,21,21,21
2002,9,2,1,1,0,0,0,0,0,35,10,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,18,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2006,22,18,7,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,0,0,0,0,0,0,0,0,55,46,35,28,27,27,27,27,27
2009,19,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
2010,3,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2011,20,14,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2012,7,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2013,37,25,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2014,42,19,4,0,0,0,0,0,0,55,45,36,33,33,33,33,33,33
2015,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2016,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2017,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
